Row ID,USEEIO Sector Name,USEEIO Sector Code,NAICS Sector Code,Activity Category,IPCC/UNFCCC Category,Activity Subcategory,Activity Type,Activity,Fuel Consumed,Gas Category,Gas,Emissions (kg),Emissions Intensity (kg/USD_2022),AR5-100 GWP,Emissions (kgCO2e),Emissions (MTCO2e),Contribution to USEEIO Sector's Scope 1 (%),Attribution Sources
31,Grain farming,1111B0,11114,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Cropland,Mineralization and Asymbiotic Fixation Cropland | Drained Organic Soils Cropland,,Nitrous oxide,Nitrous oxide,32762193.364197936,0.0005660560725007418,265.0,,8681981.241512453,0.06410738591812057,USDA_CoA_Cropland
32,Grain farming,1111B0,11114,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Volatilization & Atm. Deposition Cropland | Surface Leaching & Run-Off Cropland,,Nitrous oxide,Nitrous oxide,9202039.156674089,0.0001589902753494262,265.0,,2438540.376518633,0.01800608002317749,Detail_Use_2022
33,Grain farming,1111B0,11114,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,1716032608.5317357,0.02964913453353149,1.0,,1716032.6085317356,0.012671112920310645,Detail_Use_2022
34,Grain farming,1111B0,11114,Process & Fugitive Gases,Agriculture,Agricultural Processes,Urea Consumption,Urea Fertilization,,Carbon dioxide,Carbon dioxide,548562568.4056914,0.009477911614183133,1.0,,548562.5684056914,0.004050563033339703,Detail_Use_2022
35,Grain farming,1111B0,11114,Process & Fugitive Gases,Agriculture,Agricultural Processes,Field Burning Of Residues,Wheat,,Methane,Methane,3571428.5710000005,6.170615036801549e-05,28.0,,99999.99998800001,0.0007383958122818957,Direct
36,Grain farming,1111B0,11114,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,257948.01321500557,4.456754089896085e-06,265.0,,68356.22350197648,0.000504739491833216,Detail_Use_2022
37,Grain farming,1111B0,11114,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Methane,Methane,221935.78501580577,3.834544818684228e-06,28.0,,6214.201980442561,4.588540719583274e-05,Detail_Use_2022
38,Grain farming,1111B0,11114,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,7846.035837317726,1.3556162682396983e-07,265.0,,2079.1994968891972,1.53527220158584e-05,Detail_Use_2022
39,Grain farming,1111B0,11114,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,49504.748682374,8.553292906177476e-07,28.0,,1386.1329631064718,1.023514775346536e-05,Detail_Use_2022
40,Grain farming,1111B0,11115,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Cropland,Mineralization and Asymbiotic Fixation Cropland | Drained Organic Soils Cropland,,Nitrous oxide,Nitrous oxide,76403567.2961315,0.0013200796035822162,265.0,,20246945.33347485,0.1495025964753233,USDA_CoA_Cropland
